日期,租借量,平均气温_C,降雨量_mm,节假日,周末,大型活动,车辆供给指数,系统异常标记
2022-1-1,350,3.9,0,1,1,0,1,0
2022-1-2,350,3.1,0,0,1,0,1,0
2022-1-3,474,3.9,0,0,0,0,1,0
2022-1-4,350,1.5,0,0,0,0,1,0
2022-1-5,579,4,1.4,0,0,0,1,0
2022-1-6,402,1.7,0,0,0,0,1,0
2022-1-7,790,3.8,0,0,0,0,1,0
2022-1-8,350,2.1,0,0,1,0,1,0
2022-1-9,368,4.5,0,0,1,0,1,0
2022-1-10,875,5.5,0,0,0,0,1,0
2022-1-11,646,3.6,0,0,0,0,1,0
2022-1-12,818,5.5,0,0,0,0,1,0
2022-1-13,843,3.5,0,0,0,0,1,0
2022-1-14,1169,6.2,0,0,0,0,1,0
2022-1-15,1015,5.8,0,0,1,0,1,0
2022-1-16,1197,7.2,0,0,1,0,1,0
2022-1-17,853,4.3,0,0,0,0,1,0
2022-1-18,350,3.2,7.7,0,0,0,1,0
2022-1-19,1042,7.2,0,0,0,0,1,0
2022-1-20,918,5.1,0,0,0,0,1,0
2022-1-21,786,2.5,0,0,0,0,1,0
2022-1-22,665,3.9,0,0,1,0,1,0
2022-1-23,930,6,0,0,1,0,1,0
2022-1-24,831,4.4,0,0,0,0,1,0
2022-1-25,1317,9.5,0,0,0,0,1,0
2022-1-26,1313,9.3,0,0,0,0,1,0
2022-1-27,1701,10.8,0,0,0,0,1,0
2022-1-28,982,3.3,0.4,0,0,0,1,0
2022-1-29,1206,9,0,0,1,0,1,0
2022-1-30,1269,12.9,0,0,1,0,1,0
2022-1-31,406,9.2,7.9,1,0,0,1,0
2022-2-1,1229,11.6,0,1,0,0,1,0
2022-2-2,799,6.8,0,1,0,0,1,0
2022-2-3,674,7.6,0,1,0,0,1,0
2022-2-4,1195,9,0,1,0,0,1,0
2022-2-5,764,10.3,4.1,1,1,0,1,0
2022-2-6,350,4.1,4.4,1,1,0,1,0
2022-2-7,1408,6.8,0,0,0,0,1,0
2022-2-8,750,7.5,10.3,0,0,0,1,0
2022-2-9,1767,12.5,0,0,0,0,1,0
2022-2-10,1556,8.3,0,0,0,0,1,0
2022-2-11,1594,9.1,0,0,0,0,1,0
2022-2-12,1242,7.3,0,0,1,0,1,0
2022-2-13,1040,12.5,8.1,0,1,0,1,0
2022-2-14,1610,9.5,0,0,0,0,1,0
2022-2-15,1723,9.5,0,0,0,0,1,0
2022-2-16,1598,9.2,0,0,0,0,1,0
2022-2-17,1673,11.5,0,0,0,0,1,0
2022-2-18,1461,7.5,0,0,0,0,1,0
2022-2-19,1279,7.3,0,0,1,0,1,0
2022-2-20,1208,6.8,0,0,1,0,1,0
2022-2-21,1839,12,0.9,0,0,0,1,0
2022-2-22,2083,12,0,0,0,0,1,0
2022-2-23,1430,7.1,0,0,0,0,1,0
2022-2-24,2164,13.3,0,0,0,0,1,0
2022-2-25,1334,11,17,0,0,0,1,0
2022-2-26,2323,15.1,0,0,1,0,1,0
2022-2-27,2169,14.1,0,0,1,0,1,0
2022-2-28,1955,11,0,0,0,0,1,0
2022-3-1,2131,12.9,0,0,0,0,1,0
2022-3-2,1913,12.8,4.7,0,0,0,1,0
2022-3-3,2143,12.8,0,0,0,0,1,0
2022-3-4,2108,15.6,5.3,0,0,0,1,0
2022-3-5,1472,7.7,0,0,1,0,1,0
2022-3-6,1925,13.9,0,0,1,0,1,0
2022-3-7,1938,10.5,0,0,0,0,1,0
2022-3-8,2624,16.4,0,0,0,0,1,0
2022-3-9,2417,12.7,0,0,0,0,1,0
2022-3-10,2442,13.4,0,0,0,0,1,0
2022-3-11,2518,14.1,0,0,0,0,1,0
2022-3-12,1745,10.9,0,0,1,0,1,0
2022-3-13,1409,8.3,0,0,1,0,1,0
2022-3-14,2045,14.1,0,0,0,0,1,0
2022-3-15,2277,14.4,0,0,0,0,1,0
2022-3-16,2412,14.2,0,0,0,0,1,0
2022-3-17,2591,18.7,0,0,0,0,1,0
2022-3-18,2075,15.8,6.4,0,0,0,1,0
2022-3-19,2171,15.1,0,0,1,0,1,0
2022-3-20,2316,21.2,0,0,1,0,1,0
2022-3-21,2406,21.4,6.8,0,0,0,1,0
2022-3-22,1614,12.8,12.4,0,0,0,1,0
2022-3-23,2436,14.3,0,0,0,0,1,0
2022-3-24,2615,21.1,0,0,0,0,1,0
2022-3-25,2735,16.6,0,0,0,0,1,0
2022-3-26,2156,17,3.8,0,1,0,1,0
2022-3-27,1991,18.1,3.6,0,1,0,1,0
2022-3-28,2624,16.9,0,0,0,0,1,0
2022-3-29,2218,21,5.7,0,0,0,1,0
2022-3-30,2542,19.7,0,0,0,0,1,0
